K,arc_length_strict,arc_length_relaxed,last_prime,first_failure,purity,four_K_minus_1,four_K_minus_1_prime,is_golden,note
41,40,211,1601,1681,97.6%,163,True,True,⭐ Golden
17,16,46,257,289,94.1%,67,True,True,⭐ Golden
11,10,45,101,121,90.9%,43,True,True,⭐ Golden
347,5,100,367,377,83.3%,1387,False,False,
641,5,32,661,671,83.3%,2563,False,False,
227,4,132,239,247,80.0%,907,True,False,
101,4,117,113,121,80.0%,403,False,False,
5,4,15,17,25,80.0%,19,True,True,⭐ Golden
107,3,129,113,119,75.0%,427,False,False,
857,3,99,863,869,75.0%,3427,False,False,
881,3,81,887,893,75.0%,3523,False,False,
311,3,61,317,323,75.0%,1243,False,False,
191,3,52,197,203,75.0%,763,False,False,
461,3,49,467,473,75.0%,1843,False,False,
821,3,18,827,833,75.0%,3283,False,False,
137,2,101,139,143,66.7%,547,True,False,
809,2,99,811,815,66.7%,3235,False,False,
431,2,64,433,437,66.7%,1723,True,False,
281,2,54,283,287,66.7%,1123,True,False,
179,2,44,181,185,66.7%,715,False,False,
239,2,44,241,245,66.7%,955,False,False,
59,2,42,61,65,66.7%,235,False,False,
617,2,34,619,623,66.7%,2467,True,False,
71,2,25,73,77,66.7%,283,True,False,
419,2,25,421,425,66.7%,1675,False,False,
521,2,18,523,527,66.7%,2083,True,False,
197,2,16,199,203,66.7%,787,True,False,
29,2,13,31,35,66.7%,115,False,False,
149,2,13,151,155,66.7%,595,False,False,
599,2,13,601,605,66.7%,2395,False,False,
