K,arc_length_strict,arc_length_relaxed,last_prime,first_failure,purity,four_K_minus_1,four_K_minus_1_prime,is_golden,note
1,0,14,N/A,N/A,0.0%,3,True,False,
2,1,1,2,4,50.0%,7,True,True,⭐ Golden
3,2,5,5,9,66.7%,11,True,True,⭐ Golden
4,0,0,N/A,N/A,0.0%,15,False,False,
5,4,15,17,25,80.0%,19,True,True,⭐ Golden
6,0,0,N/A,N/A,0.0%,23,True,False,
7,1,10,7,9,50.0%,27,False,False,
8,0,0,N/A,N/A,0.0%,31,True,False,
9,0,2,N/A,N/A,0.0%,35,False,False,
10,0,0,N/A,N/A,0.0%,39,False,False,
11,10,45,101,121,90.9%,43,True,True,⭐ Golden
12,0,0,N/A,N/A,0.0%,47,True,False,
13,1,5,13,15,50.0%,51,False,False,
14,0,0,N/A,N/A,0.0%,55,False,False,
15,0,1,N/A,N/A,0.0%,59,True,False,
16,0,0,N/A,N/A,0.0%,63,False,False,
17,16,46,257,289,94.1%,67,True,True,⭐ Golden
18,0,0,N/A,N/A,0.0%,71,True,False,
19,1,6,19,21,50.0%,75,False,False,
20,0,0,N/A,N/A,0.0%,79,True,False,
21,0,2,N/A,N/A,0.0%,83,True,False,
22,0,0,N/A,N/A,0.0%,87,False,False,
23,1,19,23,25,50.0%,91,False,False,
24,0,0,N/A,N/A,0.0%,95,False,False,
25,0,11,N/A,N/A,0.0%,99,False,False,
26,0,0,N/A,N/A,0.0%,103,True,False,
27,0,4,N/A,N/A,0.0%,107,True,False,
28,0,0,N/A,N/A,0.0%,111,False,False,
29,2,13,31,35,66.7%,115,False,False,
30,0,0,N/A,N/A,0.0%,119,False,False,
31,1,11,31,33,50.0%,123,False,False,
32,0,0,N/A,N/A,0.0%,127,True,False,
33,0,2,N/A,N/A,0.0%,131,True,False,
34,0,0,N/A,N/A,0.0%,135,False,False,
35,0,7,N/A,N/A,0.0%,139,True,False,
36,0,0,N/A,N/A,0.0%,143,False,False,
37,1,28,37,39,50.0%,147,False,False,
38,0,0,N/A,N/A,0.0%,151,True,False,
39,0,2,N/A,N/A,0.0%,155,False,False,
40,0,0,N/A,N/A,0.0%,159,False,False,
41,40,211,1601,1681,97.6%,163,True,True,⭐ Golden
42,0,0,N/A,N/A,0.0%,167,True,False,
43,1,2,43,45,50.0%,171,False,False,
44,0,0,N/A,N/A,0.0%,175,False,False,
45,0,1,N/A,N/A,0.0%,179,True,False,
46,0,0,N/A,N/A,0.0%,183,False,False,
47,1,47,47,49,50.0%,187,False,False,
48,0,0,N/A,N/A,0.0%,191,True,False,
49,0,4,N/A,N/A,0.0%,195,False,False,
50,0,0,N/A,N/A,0.0%,199,True,False,
51,0,3,N/A,N/A,0.0%,203,False,False,
52,0,0,N/A,N/A,0.0%,207,False,False,
53,1,17,53,55,50.0%,211,True,False,
54,0,0,N/A,N/A,0.0%,215,False,False,
55,0,5,N/A,N/A,0.0%,219,False,False,
56,0,0,N/A,N/A,0.0%,223,True,False,
57,0,1,N/A,N/A,0.0%,227,True,False,
58,0,0,N/A,N/A,0.0%,231,False,False,
59,2,42,61,65,66.7%,235,False,False,
60,0,0,N/A,N/A,0.0%,239,True,False,
61,1,11,61,63,50.0%,243,False,False,
62,0,0,N/A,N/A,0.0%,247,False,False,
63,0,1,N/A,N/A,0.0%,251,True,False,
64,0,0,N/A,N/A,0.0%,255,False,False,
65,0,6,N/A,N/A,0.0%,259,False,False,
66,0,0,N/A,N/A,0.0%,263,True,False,
67,1,75,67,69,50.0%,267,False,False,
68,0,0,N/A,N/A,0.0%,271,True,False,
69,0,2,N/A,N/A,0.0%,275,False,False,
70,0,0,N/A,N/A,0.0%,279,False,False,
71,2,25,73,77,66.7%,283,True,False,
72,0,0,N/A,N/A,0.0%,287,False,False,
73,1,8,73,75,50.0%,291,False,False,
74,0,0,N/A,N/A,0.0%,295,False,False,
75,0,0,N/A,N/A,0.0%,299,False,False,
76,0,0,N/A,N/A,0.0%,303,False,False,
77,0,21,N/A,N/A,0.0%,307,True,False,
78,0,0,N/A,N/A,0.0%,311,True,False,
79,1,4,79,81,50.0%,315,False,False,
80,0,0,N/A,N/A,0.0%,319,False,False,
81,0,8,N/A,N/A,0.0%,323,False,False,
82,0,0,N/A,N/A,0.0%,327,False,False,
83,1,17,83,85,50.0%,331,True,False,
84,0,0,N/A,N/A,0.0%,335,False,False,
85,0,4,N/A,N/A,0.0%,339,False,False,
86,0,0,N/A,N/A,0.0%,343,False,False,
87,0,2,N/A,N/A,0.0%,347,True,False,
88,0,0,N/A,N/A,0.0%,351,False,False,
89,1,22,89,91,50.0%,355,False,False,
90,0,0,N/A,N/A,0.0%,359,True,False,
91,0,10,N/A,N/A,0.0%,363,False,False,
